"","ClassID","UserID","NumTrial","Condition","ColorOrWord","WordDisplayed","ColorOfStimulus","ColorOfResponse","ReactionTime"
"41",4331,74229,1,"IncW","C","YELLOW","G","G",1235
"42",4331,74229,2,"IncW","C","BLUE","R","R",943
"43",4331,74229,3,"IncW","C","YELLOW","B","B",1008
"44",4331,74229,4,"IncW","C","RED","G","G",1008
"45",4331,74229,5,"IncW","C","GREEN","B","B",1224
"46",4331,74229,6,"IncW","C","RED","G","G",1232
"47",4331,74229,7,"IncW","C","GREEN","Y","Y",864
"48",4331,74229,8,"IncW","C","YELLOW","R","R",936
"49",4331,74229,9,"IncW","C","GREEN","B","B",960
"50",4331,74229,10,"IncW","C","RED","Y","Y",1424
"51",4331,74229,11,"IncW","C","BLUE","R","R",1192
"52",4331,74229,12,"IncW","C","GREEN","Y","Y",1144
"53",4331,74229,13,"IncW","C","YELLOW","B","B",1104
"54",4331,74229,14,"IncW","C","BLUE","R","R",968
"55",4331,74229,15,"IncW","C","YELLOW","G","G",896
"56",4331,74229,16,"IncW","C","GREEN","B","B",1472
"57",4331,74229,17,"IncW","C","YELLOW","R","R",1008
"58",4331,74229,18,"IncW","C","BLUE","Y","Y",1023
"59",4331,74229,19,"IncW","C","GREEN","R","R",1056
"60",4331,74229,20,"IncW","C","BLUE","Y","Y",1040
"61",4331,74229,21,"ConW","C","YELLOW","Y","Y",1548
"62",4331,74229,22,"ConW","C","RED","R","R",840
"63",4331,74229,23,"ConW","C","YELLOW","Y","Y",640
"64",4331,74229,24,"ConW","C","RED","R","R",752
"65",4331,74229,25,"ConW","C","GREEN","G","G",815
"66",4331,74229,26,"ConW","C","YELLOW","Y","Y",800
"67",4331,74229,27,"ConW","C","RED","R","R",736
"68",4331,74229,28,"ConW","C","GREEN","G","G",712
"69",4331,74229,29,"ConW","C","RED","R","R",872
"70",4331,74229,30,"ConW","C","BLUE","B","B",656
"71",4331,74229,31,"ConW","C","RED","R","R",808
"72",4331,74229,32,"ConW","C","GREEN","G","G",672
"73",4331,74229,33,"ConW","C","BLUE","B","B",752
"74",4331,74229,34,"ConW","C","GREEN","G","G",1192
"75",4331,74229,35,"ConW","C","YELLOW","Y","Y",736
"76",4331,74229,36,"ConW","C","GREEN","G","G",672
"77",4331,74229,37,"ConW","C","RED","R","R",664
"78",4331,74229,38,"ConW","C","BLUE","B","B",656
"79",4331,74229,39,"ConW","C","YELLOW","Y","Y",888
"80",4331,74229,40,"ConW","C","BLUE","B","B",704
"81",4331,74229,41,"BCon","C","REX","R","R",1517
"82",4331,74229,42,"BCon","C","GRXXX","G","G",1360
"83",4331,74229,43,"BCon","C","YEXXXX","Y","Y",888
"84",4331,74229,44,"BCon","C","GRXXX","G","G",1040
"85",4331,74229,45,"BCon","C","BLXX","B","B",2056
"86",4331,74229,46,"BCon","C","REX","R","R",1056
"87",4331,74229,47,"BCon","C","BLXX","B","B",1056
"88",4331,74229,48,"BCon","C","YEXXXX","Y","Y",888
"89",4331,74229,49,"BCon","C","BLXX","B","B",768
"90",4331,74229,50,"BCon","C","YEXXXX","Y","Y",856
"91",4331,74229,51,"BCon","C","BLXX","B","B",752
"92",4331,74229,52,"BCon","C","YEXXXX","Y","Y",712
"93",4331,74229,53,"BCon","C","BLXX","B","B",720
"94",4331,74229,54,"BCon","C","YEXXXX","Y","Y",568
"95",4331,74229,55,"BCon","C","REX","R","R",672
"96",4331,74229,56,"BCon","C","YEXXXX","Y","Y",840
"97",4331,74229,57,"BCon","C","GRXXX","G","G",760
"98",4331,74229,58,"BCon","C","REX","R","R",784
"99",4331,74229,59,"BCon","C","YEXXXX","Y","Y",1000
"100",4331,74229,60,"BCon","C","REX","R","R",1136
"101",4331,74676,1,"IncW","C","YELLOW","B","B",2053
"102",4331,74676,2,"IncW","C","RED","Y","R",1327
"103",4331,74676,3,"IncW","C","GREEN","B","G",974
"104",4331,74676,4,"IncW","C","YELLOW","G","Y",895
"105",4331,74676,5,"IncW","C","RED","Y","Y",1327
"106",4331,74676,6,"IncW","C","GREEN","R","G",991
"107",4331,74676,7,"IncW","C","RED","B","R",1121
"108",4331,74676,8,"IncW","C","YELLOW","G","Y",1216
"109",4331,74676,9,"IncW","C","GREEN","B","G",2816
"110",4331,74676,10,"IncW","C","YELLOW","G","G",2064
"111",4331,74676,11,"IncW","C","BLUE","Y","Y",1039
"112",4331,74676,12,"IncW","C","RED","G","R",720
"113",4331,74676,13,"IncW","C","GREEN","R","G",2977
"114",4331,74676,14,"IncW","C","RED","B","R",736
"115",4331,74676,15,"IncW","C","GREEN","R","G",1519
"116",4331,74676,16,"IncW","C","YELLOW","G","Y",703
"117",4331,74676,17,"IncW","C","GREEN","B","G",928
"118",4331,74676,18,"IncW","C","YELLOW","G","Y",944
"119",4331,74676,19,"IncW","C","BLUE","R","B",927
"120",4331,74676,20,"IncW","C","YELLOW","G","Y",848
"121",4331,74676,21,"ConW","C","BLUE","B","B",1159
"122",4331,74676,22,"ConW","C","YELLOW","Y","Y",752
"123",4331,74676,23,"ConW","C","GREEN","G","G",1040
"124",4331,74676,24,"ConW","C","RED","R","R",1120
"125",4331,74676,25,"ConW","C","GREEN","G","G",1233
"126",4331,74676,26,"ConW","C","BLUE","B","B",1039
"127",4331,74676,27,"ConW","C","YELLOW","Y","Y",751
"128",4331,74676,28,"ConW","C","GREEN","G","G",1055
"129",4331,74676,29,"ConW","C","YELLOW","Y","Y",623
"130",4331,74676,30,"ConW","C","BLUE","B","B",1167
"131",4331,74676,31,"ConW","C","GREEN","G","G",1408
"132",4331,74676,32,"ConW","C","YELLOW","Y","Y",576
"133",4331,74676,33,"ConW","C","RED","R","R",688
"134",4331,74676,34,"ConW","C","YELLOW","Y","Y",672
"135",4331,74676,35,"ConW","C","BLUE","B","B",640
"136",4331,74676,36,"ConW","C","GREEN","G","G",576
"137",4331,74676,37,"ConW","C","YELLOW","Y","Y",577
"138",4331,74676,38,"ConW","C","RED","R","R",656
"139",4331,74676,39,"ConW","C","GREEN","G","G",1520
"140",4331,74676,40,"ConW","C","RED","R","R",832
"141",4331,74676,41,"BCon","C","BLXX","B","B",1062
"142",4331,74676,42,"BCon","C","YEXXXX","Y","Y",639
"143",4331,74676,43,"BCon","C","REX","R","R",767
"144",4331,74676,44,"BCon","C","GRXXX","G","G",992
"145",4331,74676,45,"BCon","C","YEXXXX","Y","Y",832
"146",4331,74676,46,"BCon","C","GRXXX","G","G",960
"147",4331,74676,47,"BCon","C","YEXXXX","Y","Y",2080
"148",4331,74676,48,"BCon","C","BLXX","B","B",704
"149",4331,74676,49,"BCon","C","GRXXX","G","G",832
"150",4331,74676,50,"BCon","C","BLXX","B","B",832
"151",4331,74676,51,"BCon","C","REX","R","R",609
"152",4331,74676,52,"BCon","C","BLXX","B","B",720
"153",4331,74676,53,"BCon","C","GRXXX","G","G",576
"154",4331,74676,54,"BCon","C","BLXX","B","B",752
"155",4331,74676,55,"BCon","C","YEXXXX","Y","Y",576
"156",4331,74676,56,"BCon","C","GRXXX","G","G",688
"157",4331,74676,57,"BCon","C","REX","R","R",672
"158",4331,74676,58,"BCon","C","GRXXX","G","G",1567
"159",4331,74676,59,"BCon","C","YEXXXX","Y","Y",975
"160",4331,74676,60,"BCon","C","BLXX","B","B",991
"161",4331,74677,1,"IncW","C","YELLOW","B","B",1428
"162",4331,74677,2,"IncW","C","BLUE","R","R",991
"163",4331,74677,3,"IncW","C","GREEN","Y","Y",1567
"164",4331,74677,4,"IncW","C","YELLOW","G","G",1056
"165",4331,74677,5,"IncW","C","BLUE","R","R",1135
"166",4331,74677,6,"IncW","C","YELLOW","B","B",1503
"167",4331,74677,7,"IncW","C","BLUE","Y","Y",1167
"168",4331,74677,8,"IncW","C","YELLOW","B","B",1344
"169",4331,74677,9,"IncW","C","BLUE","R","R",960
"170",4331,74677,10,"IncW","C","GREEN","B","B",3392
"171",4331,74677,11,"IncW","C","BLUE","Y","Y",1008
"172",4331,74677,12,"IncW","C","GREEN","B","B",1376
"173",4331,74677,13,"IncW","C","RED","Y","Y",1647
"174",4331,74677,14,"IncW","C","GREEN","R","R",1121
"175",4331,74677,15,"IncW","C","RED","G","G",1808
"176",4331,74677,16,"IncW","C","YELLOW","R","R",1584
"177",4331,74677,17,"IncW","C","GREEN","Y","Y",1295
"178",4331,74677,18,"IncW","C","BLUE","G","G",1599
"179",4331,74677,19,"IncW","C","GREEN","R","R",1295
"180",4331,74677,20,"IncW","C","RED","Y","Y",2976
"181",4331,74677,21,"ConW","C","BLUE","B","B",2743
"182",4331,74677,22,"ConW","C","RED","R","R",1616
"183",4331,74677,23,"ConW","C","BLUE","B","B",945
"184",4331,74677,24,"ConW","C","RED","R","R",784
"185",4331,74677,25,"ConW","C","YELLOW","Y","Y",895
"186",4331,74677,26,"ConW","C","GREEN","G","G",943
"187",4331,74677,27,"ConW","C","YELLOW","Y","Y",1007
"188",4331,74677,28,"ConW","C","GREEN","G","G",911
"189",4331,74677,29,"ConW","C","BLUE","B","B",895
"190",4331,74677,30,"ConW","C","GREEN","G","G",1296
"191",4331,74677,31,"ConW","C","YELLOW","Y","Y",880
"192",4331,74677,32,"ConW","C","GREEN","G","G",944
"193",4331,74677,33,"ConW","C","BLUE","B","B",880
"194",4331,74677,34,"ConW","C","RED","R","R",865
"195",4331,74677,35,"ConW","C","GREEN","G","G",1408
"196",4331,74677,36,"ConW","C","YELLOW","Y","Y",864
"197",4331,74677,37,"ConW","C","BLUE","B","B",1536
"198",4331,74677,38,"ConW","C","YELLOW","Y","Y",928
"199",4331,74677,39,"ConW","C","BLUE","B","B",752
"200",4331,74677,40,"ConW","C","YELLOW","Y","Y",592
"201",4331,74677,41,"BCon","C","GRXXX","G","G",2358
"202",4331,74677,42,"BCon","C","BLXX","B","B",1583
"203",4331,74677,43,"BCon","C","YEXXXX","Y","Y",1167
"204",4331,74677,44,"BCon","C","BLXX","B","B",816
"205",4331,74677,45,"BCon","C","REX","R","R",1056
"206",4331,74677,46,"BCon","C","YEXXXX","Y","Y",832
"207",4331,74677,47,"BCon","C","REX","R","R",1136
"208",4331,74677,48,"BCon","C","BLXX","B","B",769
"209",4331,74677,49,"BCon","C","REX","R","R",768
"210",4331,74677,50,"BCon","C","BLXX","B","B",768
"211",4331,74677,51,"BCon","C","GRXXX","G","G",848
"212",4331,74677,52,"BCon","C","YEXXXX","Y","Y",768
"213",4331,74677,53,"BCon","C","REX","R","R",864
"214",4331,74677,54,"BCon","C","GRXXX","G","G",720
"215",4331,74677,55,"BCon","C","YEXXXX","Y","Y",656
"216",4331,74677,56,"BCon","C","REX","R","R",703
"217",4331,74677,57,"BCon","C","BLXX","B","B",927
"218",4331,74677,58,"BCon","C","GRXXX","G","G",751
"219",4331,74677,59,"BCon","C","REX","R","R",703
"220",4331,74677,60,"BCon","C","BLXX","B","B",783
"221",4331,74678,1,"IncW","C","YELLOW","B","B",1509
"222",4331,74678,2,"IncW","C","RED","Y","Y",942
"223",4331,74678,3,"IncW","C","BLUE","G","G",926
"224",4331,74678,4,"IncW","C","YELLOW","R","R",831
"225",4331,74678,5,"IncW","C","RED","G","G",1055
"226",4331,74678,6,"IncW","C","BLUE","R","R",1024
"227",4331,74678,7,"IncW","C","GREEN","B","B",975
"228",4331,74678,8,"IncW","C","YELLOW","R","R",1008
"229",4331,74678,9,"IncW","C","BLUE","Y","Y",1056
"230",4331,74678,10,"IncW","C","RED","B","B",1088
"231",4331,74678,11,"IncW","C","GREEN","Y","Y",1008
"232",4331,74678,12,"IncW","C","YELLOW","R","R",784
"233",4331,74678,13,"IncW","C","RED","G","G",1152
"234",4331,74678,14,"IncW","C","BLUE","Y","Y",864
"235",4331,74678,15,"IncW","C","RED","B","B",928
"236",4331,74678,16,"IncW","C","GREEN","Y","Y",880
"237",4331,74678,17,"IncW","C","YELLOW","B","B",832
"238",4331,74678,18,"IncW","C","GREEN","Y","Y",768
"239",4331,74678,19,"IncW","C","YELLOW","B","B",864
"240",4331,74678,20,"IncW","C","GREEN","Y","Y",880
"241",4331,74678,21,"BCon","C","BLXX","B","B",1158
"242",4331,74678,22,"BCon","C","YEXXXX","Y","Y",831
"243",4331,74678,23,"BCon","C","REX","R","R",896
"244",4331,74678,24,"BCon","C","GRXXX","G","G",800
"245",4331,74678,25,"BCon","C","BLXX","B","B",800
"246",4331,74678,26,"BCon","C","REX","R","R",896
"247",4331,74678,27,"BCon","C","YEXXXX","Y","Y",736
"248",4331,74678,28,"BCon","C","BLXX","B","B",768
"249",4331,74678,29,"BCon","C","GRXXX","G","G",816
"250",4331,74678,30,"BCon","C","YEXXXX","Y","Y",704
"251",4331,74678,31,"BCon","C","REX","R","R",784
"252",4331,74678,32,"BCon","C","YEXXXX","Y","Y",800
"253",4331,74678,33,"BCon","C","GRXXX","G","G",768
"254",4331,74678,34,"BCon","C","REX","R","R",768
"255",4331,74678,35,"BCon","C","YEXXXX","Y","Y",720
"256",4331,74678,36,"BCon","C","BLXX","B","B",704
"257",4331,74678,37,"BCon","C","GRXXX","G","G",768
"258",4331,74678,38,"BCon","C","YEXXXX","Y","Y",768
"259",4331,74678,39,"BCon","C","BLXX","B","B",975
"260",4331,74678,40,"BCon","C","REX","R","R",751
"261",4331,74678,41,"ConW","C","BLUE","B","B",918
"262",4331,74678,42,"ConW","C","YELLOW","Y","Y",720
"263",4331,74678,43,"ConW","C","BLUE","B","B",656
"264",4331,74678,44,"ConW","C","RED","R","R",704
"265",4331,74678,45,"ConW","C","GREEN","G","G",640
"266",4331,74678,46,"ConW","C","RED","R","R",624
"267",4331,74678,47,"ConW","C","GREEN","G","G",624
"268",4331,74678,48,"ConW","C","RED","R","R",528
