id , Gender , Age , Nationality    , Are_you_a_member_of_Facebook? , facebook_int1 , facebook_int2 , facebook_int3 , facebook_int4 , facebook_int5 , facebook_int6 , facebook_int7 , facebook_int8 , f_use_1 , f_use_2 , f_use_3 , f_use_4 , f_use_5 , bonding_1 , bonding_2 , bonding_3 , bonding_4 , bonding_5 , bonding_6 , bonding_7 , bonding_8 , bonding_9 , bonding_10 , bridging_1 , bridging_2 , bridging_3 , bridging_4 , bridging_5 , bridging_6 , bridging_7 , bridging_8 , bridging_9 , bridging_10 , self_est_1 , self_est_2 , self_est_3 , self_est_4 , self_est_5 , self_est_6 , self_est_7 , life_satisf_1 , life_satisf_2 , life_satisf_3 , life_satisf_4 , life_satisf_5
3  , M      , 22  , Pakistani      , Y                             , 7             , 5             , 4             , 4             , 4             , 4             , 4             , 3             , 2       , 4       , 2       , 5       , 2       , 4         , 4         , 2         , 4         , 2         , 2         , 2         , 2         , 2         , 4          , 4          , 4          , 4          , 2          , 5          , 4          , 4          , 4          , 2          , 2           , 4          , 4          , 2          , 4          , 2          , 5          , 4          , 4             , 5             , 4             , 4             , 3
5  , M      , 23  , CHINA          , Y                             , 1             , 0             , 3             , 4             , 3             , 4             , 3             , 4             , 4       , 4       , 3       , 2       , 5       , 2         , 2         , 4         , 2         , 2         , 5         , 4         , 4         , 4         , 3          , 3          , 5          , 4          , 4          , 3          , 4          , 3          , 3          , 4          , 4           , 5          , 5          , 1          , 4          , 2          , 5          , 5          , 3             , 5             , 4             , 3             , 2
6  , M      , 22  , British        , Y                             , 8             , 4             , 4             , 3             , 4             , 3             , 4             , 3             , 4       , 4       , 4       , 4       , 2       , 4         , 4         , 3         , 4         , 4         , 4         , 3         , 4         , 3         , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 4           , 4          , 4          , 2          , 4          , 2          , 4          , 4          , 4             , 4             , 4             , 4             , 2
9  , M      , 30  , British        , Y                             , 8             , 3             , 4             , 4             , 4             , 4             , 4             , 4             , 4       , 4       , 4       , 4       , 4       , 4         , 3         , 4         , 4         , 4         , 4         , 4         , 3         , 4         , 3          , 3          , 3          , 3          , 3          , 4          , 4          , 4          , 3          , 4          , 4           , 4          , 4          , 3          , 4          , 2          , 4          , 4          , 3             , 4             , 3             , 4             , 4
10 , M      , 25  , Chinese        , N                             , 0             , 0             , 3             , 2             , 3             , 2             , 4             , 5             , 2       , 5       , 1       , 2       , 2       , 2         , 2         , 2         , 2         , 2         , 4         , 3         , 2         , 3         , 4          , 4          , 2          , 4          , 3          , 3          , 3          , 3          , 2          , 2          , 2           , 4          , 3          , 2          , 4          , 2          , 4          , 4          , 3             , 4             , 4             , 4             , 4
11 , M      , 21  , UK             , Y                             , 8             , 5             , 4             , 4             , 4             , 4             , 3             , 2             , 4       , 3       , 2       , 5       , 1       , 4         , 4         , 2         , 4         , 3         , 4         , 3         , 4         , 2         , 3          , 3          , 4          , 3          , 4          , 4          , 4          , 5          , 4          , 3          , 4           , 5          , 4          , 1          , 4          , 2          , 4          , 4          , 3             , 4             , 5             , 4             , 4
12 , M      , 24  , Indian         , Y                             , 6             , 3             , 2             , 3             , 4             , 5             , 3             , 4             , 4       , 4       , 2       , 5       , 4       , 4         , 4         , 2         , 3         , 4         , 3         , 3         , 4         , 4         , 2          , 4          , 4          , 4          , 5          , 3          , 4          , 2          , 4          , 4          , 2           , 3          , 4          , 1          , 3          , 4          , 4          , 3          , 3             , 3             , 4             , 3             , 4
13 , M      , 35  , United Kingdom , Y                             , 1             , 3             , 4             , 3             , 4             , 2             , 3             , 3             ,         , 4       , 3       , 4       , 2       , 2         , 4         , 4         , 2         , 4         , 4         , 2         , 2         , 4         , 2          , 2          , 2          , 2          , 2          , 4          , 4          , 4          , 2          , 2          , 4           , 3          , 4          , 4          , 3          , 4          , 3          , 2          , 2             , 4             , 2             , 2             , 4
14 , M      , 24  , British        , Y                             , 4             , 1             , 3             , 2             , 4             , 2             , 2             , 2             , 4       , 2       , 2       , 4       , 2       , 3         , 4         , 3         , 2         , 4         , 2         , 2         , 3         , 3         , 3          , 3          , 3          , 2          , 3          , 2          , 2          , 2          , 2          , 3          , 2           , 3          , 4          , 3          , 4          , 3          , 3          , 3          , 2             , 4             , 2             , 2             , 1
15 , F      , 25  , Malaysia       , Y                             , 8             , 2             , 4             , 3             , 4             , 4             , 4             , 3             , 4       , 4       , 4       , 5       , 5       , 4         , 4         , 2         , 4         , 3         , 4         , 3         , 3         , 3         , 3          , 4          , 3          , 3          , 4          , 4          , 4          , 4          , 3          , 4          , 4           , 5          , 5          , 5          , 5          , 1          , 5          , 5          , 4             , 5             , 5             , 5             , 1
17 , M      , 26  , Spanish        , Y                             , 8             , 5             , 4             , 3             , 5             , 3             , 1             , 4             , 4       , 2       , 4       , 2       , 2       , 4         , 3         , 2         , 3         , 4         , 3         , 2         , 3         , 2         , 3          , 2          , 4          , 3          , 4          , 2          , 2          , 2          , 2          , 2          , 2           , 5          , 4          , 1          , 4          , 2          , 4          , 4          , 3             , 2             , 4             , 2             , 4
