,subject,condition,score
1,1,control,5.39
2,2,control,6.64
3,3,control,6.24
4,4,control,7.74
5,5,control,5.77
6,6,control,7.24
7,7,control,5.21
8,8,control,6.87
9,9,control,5.28
10,10,control,5.78
11,11,control,5.07
12,12,control,5.38
13,13,control,7.17
14,14,control,6.44
15,15,control,6.18
16,16,control,5.88
17,17,talk,2.92
18,18,talk,2.61
19,19,talk,3.92
20,20,talk,5.8
21,21,talk,4.8
22,22,talk,5.77
23,23,talk,4.78
24,24,talk,3.21
25,25,talk,4.66
26,26,talk,2.54
27,27,talk,3.85
28,28,talk,4.15
29,29,talk,3.96
30,30,talk,3.62
31,31,talk,4.13
32,32,talk,4.75
33,33,text,5.07
34,34,text,4.8
35,35,text,5.2
36,36,text,4.2
37,37,text,4.41
38,38,text,3.07
39,39,text,4.2
40,40,text,3.77
41,41,text,3.67
42,42,text,4.75
43,43,text,1.67
44,44,text,2.85
45,45,text,4.53
46,46,text,2.32
47,47,text,3.88
48,48,text,1.57
