id , Gender , Are_you_a_member_of_Facebook? , facebook_int1 , facebook_int2 , facebook_int3 , facebook_int4 , facebook_int5 , facebook_int6 , facebook_int7 , facebook_int8 , bonding_1 , bonding_2 , bonding_3 , bonding_4 , bonding_5 , bonding_6 , bonding_7 , bonding_8 , bonding_9 , bonding_10 , bridging_1 , bridging_2 , bridging_3 , bridging_4 , bridging_5 , bridging_6 , bridging_7 , bridging_8 , bridging_9 , bridging_10
3  , F      , Y                             , 8             , 2             , 4             , 3             , 4             , 4             , 4             , 3             , 4         , 4         , 2         , 4         , 3         , 4         , 3         , 3         , 3         , 3          , 4          , 3          , 3          , 4          , 4          , 4          , 4          , 3          , 4          , 4
5  , F      , Y                             , 5             , 2             , 4             , 3             , 5             , 2             , 3             , 4             , 2         , 4         , 3         , 2         , 1         , 3         , 2         , 2         , 4         , 3          , 4          , 3          , 3          , 3          , 3          , 2          , 3          , 2          , 2          , 2
6  , F      , Y                             , 3             , 2             , 2             , 2             , 3             , 2             , 2             , 2             , 4         , 4         , 2         , 4         , 4         , 3         , 3         , 3         , 2         , 2          , 3          , 2          , 3          , 3          , 2          , 2          , 3          , 2          , 2          , 2
9  , F      , Y                             , 2             , 2             , 4             , 3             , 4             , 4             , 3             , 4             , 4         , 4         , 2         , 2         , 3         , 2         , 3         , 3         , 3         , 3          , 2          , 1          , 2          , 1          , 2          , 1          , 1          , 2          , 1          , 1
10 , F      , Y                             , 0             , 0             , 1             , 3             , 1             , 2             , 2             , 2             , 4         , 4         , 3         , 2         , 3         , 3         , 3         , 3         , 2         , 3          , 3          , 3          , 4          , 2          , 4          , 4          , 4          , 2          , 4          , 2
11 , F      , Y                             , 8             , 2             , 4             , 2             , 4             , 4             , 3             , 5             , 4         , 4         , 3         , 2         , 4         , 2         , 2         , 2         , 3         , 4          , 4          , 2          , 3          , 4          , 4          , 4          , 2          , 2          , 2          , 2
12 , F      , Y                             , 1             , 0             , 2             , 2             , 2             , 2             , 2             , 2             , 3         , 3         , 3         , 2         , 2         , 3         , 3         , 3         , 3         , 3          , 3          , 3          , 4          , 4          , 4          , 3          , 4          , 2          , 3          , 2
13 , F      , Y                             , 7             , 1             , 4             , 2             , 4             , 2             , 3             , 4             , 4         , 4         , 2         , 4         , 4         , 2         , 1         , 1         , 1         , 4          , 4          , 4          , 4          , 4          , 2          , 4          , 4          , 1          , 2          , 2
14 , F      , Y                             , 0             , 0             , 2             , 1             , 2             , 2             , 3             , 2             , 3         , 3         , 2         , 2         , 1         , 3         , 3         , 2         , 2         , 3          , 4          , 4          , 1          , 3          , 2          , 3          , 3          , 3          , 3          , 1
15 , F      , Y                             , 3             , 1             , 3             , 3             , 3             , 3             , 3             , 3             , 3         , 4         , 3         , 4         , 4         , 3         , 4         , 1         , 4         , 3          , 4          , 3          , 3          , 1          , 3          , 3          , 3          , 1          , 3          , 1
17 , M      , Y                             , 7             , 5             , 4             , 4             , 4             , 4             , 4             , 3             , 4         , 4         , 2         , 4         , 2         , 2         , 2         , 2         , 2         , 4          , 4          , 4          , 4          , 2          , 5          , 4          , 4          , 4          , 2          , 2
19 , M      , Y                             , 1             , 0             , 3             , 4             , 3             , 4             , 3             , 4             , 2         , 2         , 4         , 2         , 2         , 5         , 4         , 4         , 4         , 3          , 3          , 5          , 4          , 4          , 3          , 4          , 3          , 3          , 4          , 4
20 , M      , Y                             , 8             , 4             , 4             , 3             , 4             , 3             , 4             , 3             , 4         , 4         , 3         , 4         , 4         , 4         , 3         , 4         , 3         , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 4
21 , M      , Y                             , 8             , 3             , 4             , 4             , 4             , 4             , 4             , 4             , 4         , 3         , 4         , 4         , 4         , 4         , 4         , 3         , 4         , 3          , 3          , 3          , 3          , 3          , 4          , 4          , 4          , 3          , 4          , 4
22 , M      , N                             , 0             , 0             , 3             , 2             , 3             , 2             , 4             , 5             , 2         , 2         , 2         , 2         , 2         , 4         , 3         , 2         , 3         , 4          , 4          , 2          , 4          , 3          , 3          , 3          , 3          , 2          , 2          , 2
23 , M      , Y                             , 8             , 5             , 4             , 4             , 4             , 4             , 3             , 2             , 4         , 4         , 2         , 4         , 3         , 4         , 3         , 4         , 2         , 3          , 3          , 4          , 3          , 4          , 4          , 4          , 5          , 4          , 3          , 4
24 , M      , Y                             , 6             , 3             , 2             , 3             , 4             , 5             , 3             , 4             , 4         , 4         , 2         , 3         , 4         , 3         , 3         , 4         , 4         , 2          , 4          , 4          , 4          , 5          , 3          , 4          , 2          , 4          , 4          , 2
26 , M      , Y                             , 1             , 3             , 4             , 3             , 4             , 2             , 3             , 3             , 2         , 4         , 4         , 2         , 4         , 4         , 2         , 2         , 4         , 2          , 2          , 2          , 2          , 2          , 4          , 4          , 4          , 2          , 2          , 4
29 , M      , Y                             , 4             , 1             , 3             , 2             , 4             , 2             , 2             , 2             , 3         , 4         , 3         , 2         , 4         , 2         , 2         , 3         , 3         , 3          , 3          , 3          , 2          , 3          , 2          , 2          , 2          , 2          , 3          , 2
30 , M      , Y                             , 8             , 5             , 4             , 3             , 5             , 3             , 1             , 4             , 4         , 3         , 2         , 3         , 4         , 3         , 2         , 3         , 2         , 3          , 2          , 4          , 3          , 4          , 2          , 2          , 2          , 2          , 2          , 2
31 , M      , Y                             , 5             , 4             , 4             , 2             , 5             , 4             , 3             , 5             , 2         , 2         , 2         , 4         , 2         , 3         , 2         , 1         , 2         , 2          , 4          , 4          , 5          , 5          , 5          , 4          , 4          , 2          , 2          , 3
33 , M      , Y                             , 8             , 1             , 4             , 4             , 4             , 3             , 3             , 4             , 4         , 4         , 1         , 4         , 4         , 4         , 3         , 2         , 3         , 3          , 3          , 2          , 4          , 4          , 3          , 3          , 4          , 2          , 3          , 2
35 , M      , Y                             , 8             , 2             , 4             , 2             , 4             , 4             , 1             , 2             , 4         , 4         , 1         , 5         , 5         , 4         , 3         , 2         , 3         , 2          , 2          , 2          , 2          , 2          , 4          , 2          , 2          , 2          , 1          , 2
36 , M      , Y                             , 3             , 0             , 1             , 2             , 1             , 1             , 1             , 3             , 4         , 3         , 3         , 1         , 1         , 2         , 1         , 2         , 3         , 1          , 2          , 3          , 2          , 2          , 1          , 1          , 2          , 1          , 3          , 2
37 , M      , Y                             , 5             , 3             , 5             , 3             , 5             , 4             , 4             , 5             , 2         , 4         , 2         , 2         , 1         , 1         , 1         , 1         , 4         , 2          , 5          , 4          , 4          , 3          , 4          , 4          , 2          , 2          , 4          , 4
38 , M      , Y                             , 0             , 0             , 1             , 1             , 2             , 2             , 3             , 3             , 3         , 4         , 3         , 2         , 1         ,           , 4         , 3         , 2         , 4          , 4          , 3          , 2          , 4          , 4          , 3          , 4          , 2          , 4          , 2
39 , M      , Y                             , 8             , 1             , 2             , 2             , 1             , 2             , 2             , 3             , 2         , 2         , 3         , 2         , 2         , 2         , 3         , 2         , 2         , 2          , 2          , 2          , 2          , 3          , 2          , 2          , 2          , 2          , 3          , 2
40 , M      , Y                             , 4             , 3             , 4             , 4             , 2             , 1             , 4             , 3             , 4         , 4         , 3         , 4         , 5         , 3         , 4         , 4         , 3         , 4          , 4          , 4          , 2          , 4          , 4          , 4          , 5          , 2          , 3          , 2
41 , M      , Y                             , 3             , 0             , 3             , 3             , 3             , 2             , 3             , 4             , 4         , 4         , 2         , 4         , 4         , 2         , 3         , 3         , 3         , 4          , 4          , 4          , 2          , 4          , 2          , 3          , 3          , 3          , 2          , 3
43 , M      , Y                             , 0             , 0             , 2             , 3             , 2             , 2             , 2             , 3             , 3         , 2         , 3         , 2         , 2         , 3         , 2         , 3         , 4         , 3          , 3          , 3          , 3          , 3          , 3          , 3          , 3          , 2          , 3          , 2
44 , M      , Y                             , 8             , 5             , 5             , 3             , 5             , 4             , 4             , 5             , 5         , 1         , 1         , 5         , 5         , 3         , 4         , 3         , 5         , 3          , 4          , 3          , 3          , 5          , 3          , 3          , 5          , 1          , 3          , 3
46 , M      , Y                             , 5             , 2             , 4             , 3             , 4             , 3             , 2             , 5             , 4         , 4         , 2         , 5         , 4         , 2         , 2         , 3         , 3         , 3          , 4          , 4          , 4          , 4          , 4          , 2          , 3          , 2          , 2          , 2
48 , M      , Y                             , 4             , 3             , 4             , 3             , 4             , 2             , 3             , 4             , 4         , 3         , 3         , 5         , 2         , 4         , 3         , 2         , 2         , 3          , 4          , 4          , 3          , 3          , 3          , 3          , 4          , 2          , 3          , 3
49 , M      , Y                             , 4             , 1             , 3             , 3             , 4             , 2             , 3             , 2             , 4         , 2         , 2         , 4         , 4         , 2         , 4         , 4         , 2         ,            , 4          , 4          , 2          , 4          , 2          , 3          , 4          , 2          , 3          , 3
50 , M      , Y                             , 1             , 4             , 4             , 2             , 3             , 2             , 4             , 4             , 4         , 3         , 3         , 2         , 2         , 2         , 4         , 3         , 4         , 2          , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 3          , 3          , 2
51 , M      , Y                             , 7             , 0             , 2             , 2             , 3             , 2             , 2             , 2             , 3         , 4         , 3         , 3         , 3         , 3         , 3         , 3         , 4         , 3          , 4          , 4          , 4          , 2          , 4          , 3          , 4          , 2          , 4          , 2
53 , M      , Y                             , 2             , 1             , 3             , 4             , 4             , 3             , 3             , 4             , 5         , 5         , 1         , 3         , 5         , 3         , 3         , 5         , 3         , 3          , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 3          , 3          , 2
54 , M      , Y                             , 1             , 1             , 3             , 3             , 3             , 2             , 3             , 3             , 3         , 4         , 1         , 2         , 2         , 2         , 3         , 2         , 3         , 2          , 4          , 3          , 3          , 3          , 3          , 3          , 3          , 2          , 4          , 2
56 , M      , Y                             , 3             , 0             , 2             , 4             , 2             , 2             , 4             , 4             , 4         , 4         , 4         , 4         , 4         , 4         , 2         , 3         , 4         , 3          , 4          , 4          , 2          , 4          , 5          , 5          , 2          , 2          , 2          , 2
58 , M      , Y                             , 8             , 2             , 4             , 3             , 4             , 4             , 3             , 4             , 4         , 4         , 1         , 4         , 2         , 2         , 4         , 4         , 2         , 3          , 4          , 3          , 3          , 4          , 4          , 3          , 3          , 3          , 2          , 2
63 , M      , Y                             , 4             , 3             , 4             , 3             , 4             , 2             , 2             , 3             , 4         , 4         , 2         , 3         , 1         , 3         , 3         , 2         , 3         , 3          , 4          , 4          , 4          , 5          , 2          , 3          , 4          , 2          , 2          , 3
65 , M      , Y                             , 4             , 1             , 3             , 3             , 2             , 1             , 2             , 4             , 3         , 3         , 5         , 3         , 1         , 3         , 3         , 1         , 3         , 3          , 4          , 4          , 4          , 4          , 2          , 2          , 3          , 4          , 3          , 2
66 , M      , Y                             , 1             , 0             , 1             , 2             , 2             , 3             , 3             , 3             , 4         , 4         , 3         , 4         , 2         , 2         , 3         , 3         , 3         , 3          , 3          , 4          , 4          , 4          , 4          , 3          , 4          , 3          , 3          , 3
67 , M      , Y                             , 6             , 0             , 1             , 3             , 1             , 2             , 2             , 3             , 4         , 4         , 2         , 3         , 4         , 3         , 3         , 3         , 2         , 3          , 2          , 2          , 2          , 3          , 2          , 2          , 2          , 2          , 3          , 3
69 , M      , Y                             , 7             , 1             , 5             , 3             , 4             , 4             , 3             , 4             , 4         , 4         , 2         , 3         , 4         , 3         , 4         , 3         , 2         , 4          , 3          , 4          , 3          , 4          , 3          , 2          , 4          , 2          , 2          , 2
70 , M      , Y                             , 1             , 2             , 4             , 1             , 3             , 3             , 3             , 3             , 3         , 3         , 3         , 3         , 2         , 3         , 2         , 2         , 4         , 3          , 2          , 3          , 2          , 3          , 2          , 2          , 3          , 2          , 2          , 2
