Set  Mark from  Arie     Bram     Josh     Khulood  Maria    Momodou
9    Mar 23     Haj–Kpo  Kum–Oli  Oma–Sin  Sle–Zho  Abr–Chug Chum–Gou
10   Mar 30     Kum–Oli  Oma–Sin  Sle–Zho  Abr–Chug Chum–Gou Haj–Kpo

1    Jan 26     Abr–Chug Chum–Gou Haj–Kpo  Kum–Oli  Oma–Sin  Sle–Zho
2    Feb 02     Chum–Gou Haj–Kpo  Kum–Oli  Oma–Sin  Sle–Zho  Abr–Chug
3    Feb 09     Haj–Kpo  Kum–Oli  Oma–Sin  Sle–Zho  Abr–Chug Chum–Gou
4    Feb 16     Kum–Oli  Oma–Sin  Sle–Zho  Abr–Chug Chum–Gou Haj–Kpo
5    Feb 23     Oma–Sin  Sle–Zho  Abr–Chug Chum–Gou Haj–Kpo  Kum–Oli
6    Mar 02     Sle–Zho  Abr–Chug Chum–Gou Haj–Kpo  Kum–Oli  Oma–Sin
7    Mar 09     Abr–Chug Chum–Gou Haj–Kpo  Kum–Oli  Oma–Sin  Sle–Zho
8    Mar 16     Chum–Gou Haj–Kpo  Kum–Oli  Oma–Sin  Sle–Zho  Abr–Chug
